Resume_ID,Skills,Experience_Years,Education_Level,Projects_Count,Certifications,Publications,Awards,Leadership_Experience,Industry_Relevance,Resume_Score
1,"python,odoo,api,django",5,3.0,7,2,1,2,1,0.87,41.54
2,"html,css,javascript",1,2.0,2,0,0,0,0,0.6,14.08
3,"odoo,python,pandas,sql",4,3.0,6,1,0,1,1,0.87,34.54
4,"c++,oop,debugging",3,2.0,4,0,0,0,0,0.58,22.02
5,"python,scikit-learn,xgboost",4,3.0,6,3,2,2,1,0.88,38.26
6,"odoo,python,sql,automation",7,3.0,9,4,2,2,1,0.96,53.19
7,"aws,azure,gcp,devops",7,3.0,10,4,1,2,1,0.88,53.46
8,"html,css,sass",2,1.0,2,0,0,0,0,0.62,15.44
9,"python,odoo,dev_tools",6,3.0,8,3,2,1,1,0.89,45.49
10,"odoo,python,linux,api,git",5,3.0,8,2,1,1,1,0.89,43.79
11,"html,css,js",1,1.0,2,0,0,0,0,0.6,12.88
12,"html,wordpress",2,2.0,2,0,0,0,0,0.45,14.66
13,"python,odoo,flask,api",5,3.0,7,2,1,2,1,0.87,41.54
14,"python,html",2,2.0,2,0,0,0,0,0.5,14.8
15,"odoo,python,linux,sql,xpath",6,3.0,9,2,1,2,1,0.91,48.65
16,"python,odoo,ml,cloud,sql",6,3.0,9,3,1,2,1,0.93,49.9
17,"odoo,python,pandas,sql",6,3.0,8,3,2,2,1,0.9,47.82
18,"node.js,express,javascript",3,2.0,4,0,0,0,0,0.62,22.14
19,"python,odoo,numpy,pandas,rest",5,3.0,8,2,1,2,1,0.91,44.65
20,"c++,stl",2,2.0,3,0,0,0,0,0.5,16.3
21,"odoo,python,ml,docker,api",6,4.0,10,4,2,2,1,0.96,54.89
22,"python,odoo,numpy,matplotlib",5,3.0,7,2,2,2,1,0.88,42.56
23,"python,sql,excel",3,2.0,3,0,0,0,0,0.65,20.72
24,"react_native,expo,api",3,2.0,5,2,0,0,1,0.75,27.9
25,"c,embedded,arduino",2,2.0,3,0,0,0,0,0.52,17.86
26,"python,odoo,data_pipeline,sql",7,3.0,9,4,3,2,1,0.93,54.1
27,"python,odoo,docker,xml,git",6,3.0,9,3,1,2,1,0.92,49.88
28,"java,oop,servlets",3,2.0,3,0,0,0,0,0.55,20.44
29,"python,django,celery,redis",5,3.0,6,2,1,1,1,0.84,39.15
30,"azure,cloud_devops",6,3.0,8,3,1,2,1,0.86,43.71
31,"odoo,python,socketio,rest",5,3.0,7,3,2,2,1,0.89,43.79
32,"ruby,rails,postgresql,redis",5,2.0,6,2,0,1,1,0.8,36.84
33,"sql,data_reporting",4,2.0,3,1,0,0,0,0.6,22.78
34,"odoo,python,pandas,sql,ml",5,3.0,8,2,1,2,1,0.91,44.65
35,"odoo,python,javascript,api,xml",6,3.0,8,2,1,1,1,0.92,46.38
36,"javascript,jquery,html,css",2,1.0,3,0,0,0,0,0.64,18.49
37,"java,kotlin,android,retrofit",3,3.0,5,2,0,0,1,0.74,30.57
38,"c#,asp.net",3,2.0,3,0,0,0,0,0.55,18.94
39,"python,data_engineering",4,3.0,6,2,1,1,1,0.82,33.6
40,"vue,vuetify,api",3,2.0,4,1,0,0,1,0.72,25.12
41,"python,odoo,sql,html",4,2.0,6,2,1,1,1,0.83,35.42
42,"typescript,angular,rxjs",5,3.0,7,1,0,1,1,0.78,36.78
43,"java,servlets,jsp",3,2.0,4,0,0,0,0,0.63,22.16
44,"python,tensorflow,keras,opencv",3,3.0,5,2,1,0,0,0.78,30.18
45,"odoo,python,ml,xml,flask",6,3.0,9,3,2,2,1,0.94,50.93
46,"python,odoo,ai,nlp",7,4.0,9,4,3,2,1,0.93,55.3
47,"sql,datawarehouse,etl",6,3.0,7,3,1,2,1,0.85,43.68
48,"r,statistics,tableau,excel",6,4.0,10,4,5,2,1,0.9,56.22
49,"python,data_cleaning,ml",4,2.0,5,2,1,1,1,0.78,32.28
50,"c,embedded",3,2.0,3,0,0,0,0,0.5,18.8
51,"python,odoo,k8s,erp",6,3.0,8,3,0,2,1,0.93,45.9
52,"odoo,python,etl,pandas",6,3.0,8,3,2,1,1,0.89,46.99
